CAISO 15-Minute Real-Time Locational Marginal Prices ($/megawatt) for Zones
15-minute real-time locational marginal prices for CAISO
Source: EIA collected from CAISO
UTC Timestamp (Interval Ending),Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,NP-15 LMP,SP-15 LMP,ZP-26 LMP,NP-15 (Congestion),SP-15 (Congestion),ZP-26 (Congestion),NP-15 (Energy),SP-15 (Energy),ZP-26 (Energy),NP-15 (Loss),SP-15 (Loss),ZP-26 (Loss)
2020-10-01 07:15:00,2020-10-01 00:00:00,2020-10-01 00:15:00,2020-10-01,1,40.34639,38.81517,40.93418,2.27456,1.08479,3.35935,37.93904,37.93904,37.93904,0.13279,-0.20866,-0.36421
2020-10-01 07:30:00,2020-10-01 00:15:00,2020-10-01 00:30:00,2020-10-01,1,33.25707,32.99431,32.85129,0.0,0.0,0.0,33.26039,33.26039,33.26039,-0.00333,-0.26608,-0.4091
2020-10-01 07:45:00,2020-10-01 00:30:00,2020-10-01 00:45:00,2020-10-01,1,39.50657,38.92901,39.02018,0.13911,0.0436,0.2014,39.1911,39.1911,39.1911,0.17636,-0.30569,-0.37232
2020-10-01 08:00:00,2020-10-01 00:45:00,2020-10-01 01:00:00,2020-10-01,1,31.15222,30.6598,30.62264,0.0,0.0,0.0,30.9695,30.9695,30.9695,0.18272,-0.30969,-0.34686
2020-10-01 08:15:00,2020-10-01 01:00:00,2020-10-01 01:15:00,2020-10-01,2,37.66943,36.90745,36.94854,0.0,0.0,0.0,37.35194,37.35194,37.35194,0.31749,-0.44449,-0.4034
2020-10-01 08:30:00,2020-10-01 01:15:00,2020-10-01 01:30:00,2020-10-01,2,42.21356,36.0259,41.51665,0.0,-5.6125,0.0,41.98266,41.98266,41.98266,0.2309,-0.34426,-0.46601
2020-10-01 08:45:00,2020-10-01 01:30:00,2020-10-01 01:45:00,2020-10-01,2,40.04664,37.04311,39.44411,0.0,-2.58056,0.0,39.90299,39.90299,39.90299,0.14365,-0.27932,-0.45888
2020-10-01 09:00:00,2020-10-01 01:45:00,2020-10-01 02:00:00,2020-10-01,2,34.67206,33.75252,34.01677,0.0,-0.31943,0.0,34.48927,34.48927,34.48927,0.18279,-0.41732,-0.4725
2020-10-01 09:15:00,2020-10-01 02:00:00,2020-10-01 02:15:00,2020-10-01,3,31.77686,30.04391,31.21326,0.0,-1.29917,0.0,31.66287,31.66287,31.66287,0.11399,-0.31979,-0.44961
2020-10-01 09:30:00,2020-10-01 02:15:00,2020-10-01 02:30:00,2020-10-01,3,31.16963,29.43447,30.55231,0.0,-1.19229,0.0,31.02073,31.02073,31.02073,0.1489,-0.39396,-0.46841
2020-10-01 09:45:00,2020-10-01 02:30:00,2020-10-01 02:45:00,2020-10-01,3,31.19012,30.5157,30.45074,0.0,0.0,0.0,30.93644,30.93644,30.93644,0.25368,-0.42074,-0.4857
2020-10-01 10:00:00,2020-10-01 02:45:00,2020-10-01 03:00:00,2020-10-01,3,29.62785,28.71145,28.79438,0.0,-0.06246,0.0,29.24475,29.24475,29.24475,0.38311,-0.47084,-0.45037
2020-10-01 10:15:00,2020-10-01 03:00:00,2020-10-01 03:15:00,2020-10-01,4,33.57689,32.13934,32.88327,0.0,-0.83063,0.0,33.34679,33.34679,33.34679,0.23009,-0.37682,-0.46352
2020-10-01 10:30:00,2020-10-01 03:15:00,2020-10-01 03:30:00,2020-10-01,4,33.40172,32.82417,32.73787,0.0,0.0,0.0,33.19261,33.19261,33.19261,0.20911,-0.36844,-0.45474
